\fixlen = T
|set|TIME       |ndiv_PDCSAP_FLUX|
|int|double     |double          |
 0   149.2900170 0.998338838471   
 0   149.3308860 0.997841585972   
 0   149.3513206 0.997515233577   
 0   149.3717551 0.997962454653   
 0   149.3921896 0.998534580324   
 0   149.4126242 0.998405013552   
 0   149.4330587 0.998464786837   
 0   149.4534932 0.998610497267   
 0   149.4739277 0.998096544433   
 0   149.4943623 0.998411902441   
 0   149.5147968 0.998895377163   
 0   149.5352314 0.998110670133   
 0   149.5556660 0.997941718403   
 0   149.5761004 0.998226319959   
 0   149.5965350 0.998561787955   
 0   149.6169694 0.999058205437   
 0   149.6374040 0.998670896815   
 0   149.6578386 0.998423453506   
 0   149.6782730 0.998347745317   
 0   149.6987075 0.998839083114   
 0   149.7191422 0.998046791349   
 0   149.7395767 0.998536041604   
 0   149.7600111 0.998987924857   
 0   149.7804458 0.998139547797   
 0   149.8008803 0.999467642003   
 0   149.8213148 0.999360968608   
 0   149.8417493 0.999064815986   
 0   149.8621839 0.998943460213   
 0   149.8826185 0.999233976471   
 0   149.9030529 0.998687805905   
 0   149.9234875 0.998115193141   
 0   149.9439221 0.998766436653   
 0   149.9643566 0.998848824977   
 0   149.9847910 0.999068503977   
 0   150.0052257 0.999055630802   
 0   150.0256602 0.998704019148   
 0   150.0460946 0.998885983224   
 0   150.0665293 0.998778405227   
 0   150.0869638 0.998907415321   
 0   150.1073982 0.999144629675   
 0   150.1278328 0.99837557921    
 0   150.1482674 0.998802899053   
 0   150.1687018 0.99866846135    
 0   150.1891364 0.999980620652   
 0   150.2095710 0.999252833934   
 0   150.2300054 0.999049159422   
 0   150.2504400 0.99949053538    
 0   150.2708745 0.998852652137   
 0   150.2913091 0.999393116755   
 0   150.3117435 0.999306414178   
 0   150.3321781 0.999150405208   
 0   150.3526125 0.999205377146   
 0   150.3730471 0.998622535426   
 0   150.3934817 0.99965990462    
 0   150.4139161 0.999359994422   
 0   150.4343507 0.99951656007    
 0   150.4547853 0.998899065153   
 0   150.4752198 0.999487264898   
 0   150.4956542 1.00095988659    
 0   150.5160889 0.999508488241   
 0   150.5365234 0.99870993385    
 0   150.5569578 1.00001527385    
 0   150.5773925 0.99987707857    
 0   150.5978270 0.998714735197   
 0   150.6182614 0.998834977615   
 0   150.6386959 0.999643413038   
 0   150.6591306 0.999636802488   
 0   150.6795650 0.999777433233   
 0   150.6999995 0.99947640968    
 0   150.7204342 0.999501529768   
 0   150.7408687 0.999922378231   
 0   150.7613031 1.0001672469     
 0   150.7817376 0.999665749737   
 0   150.8021723 1.00000219192    
 0   150.8226067 1.00004415151    
 0   150.8430412 0.999206003409   
 0   150.8634759 0.999692122351   
 0   150.8839103 0.999775763199   
 0   150.9043448 1.00042213578    
 0   150.9247793 1.00046680918    
 0   150.9452139 1.00001061167    
 0   150.9656484 1.00017211784    
 0   150.9860829 0.999420602724   
 0   151.0065174 0.999674795752   
 0   151.0269520 0.999824194173   
 0   151.0473865 0.999886402924   
 0   151.0678209 1.00041239392    
 0   151.0882556 0.999475574663   
 0   151.1086901 1.00007275084    
 0   151.1291245 1.00038087203    
 0   151.1495590 1.00028359258    
 0   151.1699937 0.999888907974   
 0   151.1904281 1.00000824579    
 0   151.2108626 1.00044836922    
 0   151.2312973 0.999491787906   
 0   151.2517318 0.999622746372   
 0   151.2721662 0.999772423132   
 0   151.2926007 1.00040139953    
 0   151.3130354 1.0002032918     
 0   151.3334698 1.00020697979    
 0   151.3539043 1.00060458695    
 0   151.3743389 1.00069358582    
 0   151.3947734 1.00060409986    
 0   151.4152079 0.99998514366    
 0   151.4356424 0.999953343437   
 0   151.4560769 1.00016063636    
 0   151.4765115 0.998992726204   
 0   151.4969460 0.999127998924   
 0   151.5173805 0.999290827198   
 0   151.5378150 1.00036389336    
 0   151.5582496 1.00063903139    
 0   151.5786841 1.00033125812    
 0   151.5991187 1.00061808639    
 0   151.6195531 1.00008256229    
 0   151.6399877 0.99909912126    
 0   151.6808567 0.994264930718   
 0   151.7012912 0.989659465192   
 0   151.7217257 0.990085741264   
 0   151.7421603 0.996881734171   
